Module	Entry Function	Relevant Properties
drivers-usb-gadget-udc-goku_udc-ko_main0.c	main	2
drivers-usb-gadget-udc-net2280-ko_main0.c	main	2
drivers-usb-host-fotg210-hcd-ko_main0.c	main	3
drivers-usb-host-hwa-hc-ko_main0.c	main	2
drivers-usb-misc-appledisplay-ko_main0.c	main	4
drivers-usb-misc-iowarrior-ko_main0.c	main	3
drivers-usb-misc-usbtest-ko_main0.c	main	5
drivers-usb-misc-uss720-ko_main0.c	main	5
drivers-usb-phy-phy-tahvo-ko_main0.c	main	2
drivers-video-fbdev-via-viafb-ko_main0.c	main	2
drivers-w1-masters-ds1wm-ko_main0.c	main	2
drivers-watchdog-dw_wdt-ko_main0.c	main	2
drivers-watchdog-f71808e_wdt-ko_main0.c	main	2
drivers-watchdog-pc87413_wdt-ko_main0.c	main	2
drivers-watchdog-w83977f_wdt-ko_main0.c	main	2
drivers-xen-xen-acpi-processor-ko_main0.c	main	2
fs-coda-coda-ko_main0.c	main	3
fs-f2fs-f2fs-ko_main0.c	main	4
fs-fat-vfat-ko_main0.c	main	2
fs-hfsplus-hfsplus-ko_main0.c	main	2
fs-nilfs2-nilfs2-ko_main0.c	main	3
kernel-locking-locktorture-ko_main0.c	main	3
net-atm-br2684-ko_main0.c	main	4
net-atm-lec-ko_main0.c	main	3
net-bridge-bridge-ko_main0.c	main	3
net-can-can-ko_main0.c	main	4
net-dccp-dccp_ipv6-ko_main0.c	main	2
net-decnet-decnet-ko_main0.c	main	3
net-ieee802154-ieee802154_socket-ko_main0.c	main	3
net-ipv4-netfilter-ip_tables-ko_main0.c	main	2
net-ipv6-sit-ko_main0.c	main	3
net-l2tp-l2tp_eth-ko_main0.c	main	4
net-l2tp-l2tp_ip6-ko_main0.c	main	2
net-netfilter-ipset-ip_set-ko_main0.c	main	4
net-netfilter-nf_conntrack_netlink-ko_main0.c	main	2
net-netfilter-nfnetlink-ko_main0.c	main	2
net-netfilter-nfnetlink_log-ko_main0.c	main	2
net-netfilter-nfnetlink_queue-ko_main0.c	main	3
net-nfc-nci-nci-ko_main0.c	main	2
net-sunrpc-sunrpc-ko_main0.c	main	5
sound-core-seq-oss-snd-seq-oss-ko_main0.c	main	3
sound-core-seq-snd-seq-ko_main0.c	main	4
sound-core-snd-ko_main0.c	main	5
sound-core-snd-timer-ko_main0.c	main	3
sound-drivers-snd-aloop-ko_main0.c	main	2
sound-oss-pas2-ko_main0.c	main	2
sound-oss-uart401-ko_main0.c	main	2
sound-oss-uart6850-ko_main0.c	main	2
sound-pci-hda-snd-hda-intel-ko_main0.c	main	3
sound-pci-ice1712-snd-ice1712-ko_main0.c	main	3
sound-pci-lola-snd-lola-ko_main0.c	main	2
sound-pci-snd-als300-ko_main0.c	main	2
sound-pci-snd-als4000-ko_main0.c	main	2
sound-pci-snd-atiixp-ko_main0.c	main	3
sound-pci-snd-atiixp-modem-ko_main0.c	main	3
sound-pci-snd-intel8x0m-ko_main0.c	main	2
sound-pci-snd-rme32-ko_main0.c	main	2
sound-pci-snd-via82xx-ko_main0.c	main	2
sound-soc-codecs-snd-soc-arizona-ko_main0.c	main	2
sound-soc-codecs-snd-soc-wm0010-ko_main0.c	main	3
sound-soc-intel-sst-snd-intel-sst-core-ko_main0.c	main	3
sound-usb-snd-usbmidi-lib-ko_main0.c	main	2
