Module	Entry Function	Relevant Properties
drivers-block-cryptoloop-ko_main0.c	main	0
drivers-block-DAC960-ko_main0.c	main	1
drivers-block-floppy-ko_main0.c	main	2
drivers-block-loop-ko_main0.c	main	3
drivers-block-mtip32xx-mtip32xx-ko_main0.c	main	4
drivers-block-nbd-ko_main0.c	main	2
drivers-block-null_blk-ko_main0.c	main	2
drivers-block-nvme-ko_main0.c	main	3
drivers-block-osdblk-ko_main0.c	main	1
drivers-block-paride-aten-ko_main0.c	main	0
drivers-block-paride-bpck-ko_main0.c	main	0
drivers-block-paride-comm-ko_main0.c	main	0
drivers-block-paride-dstr-ko_main0.c	main	0
drivers-block-paride-epat-ko_main0.c	main	0
drivers-block-paride-epia-ko_main0.c	main	0
drivers-block-paride-fit2-ko_main0.c	main	0
drivers-block-paride-fit3-ko_main0.c	main	0
drivers-block-paride-friq-ko_main0.c	main	0
drivers-block-paride-frpw-ko_main0.c	main	0
drivers-block-paride-kbic-ko_main0.c	main	0
drivers-block-paride-ktti-ko_main0.c	main	0
drivers-block-paride-on20-ko_main0.c	main	0
drivers-block-paride-on26-ko_main0.c	main	0
drivers-block-paride-pcd-ko_main0.c	main	1
drivers-block-paride-pd-ko_main0.c	main	2
drivers-block-paride-pf-ko_main0.c	main	1
drivers-block-paride-pg-ko_main0.c	main	2
drivers-block-paride-pt-ko_main0.c	main	2
drivers-block-pktcdvd-ko_main0.c	main	5
drivers-block-rbd-ko_main0.c	main	1
drivers-block-skd-ko_main0.c	main	2
drivers-block-umem-ko_main0.c	main	2
drivers-block-virtio_blk-ko_main0.c	main	1
drivers-block-xen-blkback-xen-blkback-ko_main0.c	main	1
drivers-block-xen-blkfront-ko_main0.c	main	4
drivers-block-zram-zram-ko_main0.c	main	0
drivers-bluetooth-ath3k-ko_main0.c	main	0
drivers-bluetooth-bcm203x-ko_main0.c	main	1
drivers-bluetooth-bfusb-ko_main0.c	main	2
drivers-bluetooth-bluecard_cs-ko_main0.c	main	2
drivers-bluetooth-bpa10x-ko_main0.c	main	0
drivers-bluetooth-bt3c_cs-ko_main0.c	main	2
drivers-bluetooth-btmrvl_sdio-ko_main0.c	main	1
drivers-bluetooth-btsdio-ko_main0.c	main	0
drivers-bluetooth-btuart_cs-ko_main0.c	main	2
drivers-bluetooth-btusb-ko_main0.c	main	2
drivers-bluetooth-btwilink-ko_main0.c	main	0
drivers-bluetooth-dtl1_cs-ko_main0.c	main	2
drivers-bluetooth-hci_uart-ko_main0.c	main	0
drivers-bluetooth-hci_vhci-ko_main0.c	main	0
drivers-cdrom-cdrom-ko_main0.c	main	0
drivers-char-agp-agpgart-ko_main0.c	main	0
drivers-char-agp-amd64-agp-ko_main0.c	main	0
drivers-char-agp-intel-agp-ko_main0.c	main	0
drivers-char-agp-intel-gtt-ko_main0.c	main	0
drivers-char-agp-sis-agp-ko_main0.c	main	0
drivers-char-agp-via-agp-ko_main0.c	main	0
drivers-char-applicom-ko_main0.c	main	3
drivers-char-hangcheck-timer-ko_main0.c	main	0
drivers-char-hw_random-amd-rng-ko_main0.c	main	0
drivers-char-hw_random-intel-rng-ko_main0.c	main	0
drivers-char-hw_random-rng-core-ko_main0.c	main	1
drivers-char-hw_random-timeriomem-rng-ko_main0.c	main	0
drivers-char-hw_random-tpm-rng-ko_main0.c	main	0
drivers-char-hw_random-via-rng-ko_main0.c	main	0
drivers-char-hw_random-virtio-rng-ko_main0.c	main	0
drivers-char-i8k-ko_main0.c	main	1
drivers-char-ipmi-ipmi_devintf-ko_main0.c	main	3
drivers-char-ipmi-ipmi_msghandler-ko_main0.c	main	3
drivers-char-ipmi-ipmi_poweroff-ko_main0.c	main	0
drivers-char-ipmi-ipmi_si-ko_main0.c	main	2
drivers-char-ipmi-ipmi_watchdog-ko_main0.c	main	2
drivers-char-lp-ko_main0.c	main	2
drivers-char-mwave-mwave-ko_main0.c	main	2
drivers-char-nvram-ko_main0.c	main	2
drivers-char-pcmcia-cm4000_cs-ko_main0.c	main	2
drivers-char-pcmcia-cm4040_cs-ko_main0.c	main	2
drivers-char-pcmcia-synclink_cs-ko_main0.c	main	3
drivers-char-ppdev-ko_main0.c	main	2
drivers-char-raw-ko_main0.c	main	3
drivers-char-tlclk-ko_main0.c	main	4
drivers-char-tpm-tpm_atmel-ko_main0.c	main	0
drivers-char-tpm-tpm_crb-ko_main0.c	main	0
drivers-char-tpm-tpm_i2c_atmel-ko_main0.c	main	0
drivers-char-tpm-tpm_i2c_infineon-ko_main0.c	main	0
drivers-char-tpm-tpm_i2c_nuvoton-ko_main0.c	main	1
drivers-char-tpm-tpm_i2c_stm_st33-ko_main0.c	main	1
drivers-char-tpm-tpm_infineon-ko_main0.c	main	0
drivers-char-tpm-tpm_nsc-ko_main0.c	main	0
drivers-char-tpm-xen-tpmfront-ko_main0.c	main	1
drivers-char-ttyprintk-ko_main0.c	main	1
drivers-char-uv_mmtimer-ko_main0.c	main	0
drivers-char-virtio_console-ko_main0.c	main	2
drivers-char-xillybus-xillybus_core-ko_main0.c	main	4
drivers-char-xillybus-xillybus_pcie-ko_main0.c	main	0
drivers-clk-clk-cdce706-ko_main0.c	main	0
drivers-clk-clk-si5351-ko_main0.c	main	0
drivers-clk-clk-wm831x-ko_main0.c	main	0
drivers-clocksource-cs5535-clockevt-ko_main0.c	main	1
drivers-cpufreq-acpi-cpufreq-ko_main0.c	main	1
drivers-cpufreq-amd_freq_sensitivity-ko_main0.c	main	0
drivers-cpufreq-cpufreq_conservative-ko_main0.c	main	1
drivers-cpufreq-cpufreq_ondemand-ko_main0.c	main	2
drivers-cpufreq-cpufreq_powersave-ko_main0.c	main	0
drivers-cpufreq-cpufreq_stats-ko_main0.c	main	2
drivers-cpufreq-cpufreq_userspace-ko_main0.c	main	1
drivers-cpufreq-p4-clockmod-ko_main0.c	main	1
drivers-cpufreq-pcc-cpufreq-ko_main0.c	main	1
drivers-cpufreq-powernow-k8-ko_main0.c	main	1
drivers-cpufreq-speedstep-centrino-ko_main0.c	main	1
drivers-crypto-ccp-ccp-crypto-ko_main0.c	main	0
drivers-crypto-ccp-ccp-ko_main0.c	main	1
drivers-crypto-padlock-aes-ko_main0.c	main	1
drivers-crypto-padlock-sha-ko_main0.c	main	0
drivers-crypto-qat-qat_common-intel_qat-ko_main0.c	main	1
drivers-crypto-qat-qat_dh895xcc-qat_dh895xcc-ko_main0.c	main	0
drivers-crypto-qce-qcrypto-ko_main0.c	main	1
drivers-dca-dca-ko_main0.c	main	1
drivers-devfreq-governor_performance-ko_main0.c	main	1
drivers-devfreq-governor_powersave-ko_main0.c	main	1
drivers-devfreq-governor_simpleondemand-ko_main0.c	main	0
drivers-devfreq-governor_userspace-ko_main0.c	main	0
drivers-dma-dmatest-ko_main0.c	main	1
drivers-dma-dw-dw_dmac-ko_main0.c	main	0
drivers-dma-dw-dw_dmac_pci-ko_main0.c	main	0
drivers-dma-img-mdc-dma-ko_main0.c	main	2
drivers-dma-intel_mid_dma-ko_main0.c	main	1
